"","word","sentiment","n"
"935","humble","positive",6
"936","impaired","negative",6
"937","improvements","positive",6
"938","incomplete","negative",6
"939","intelligent","positive",6
"940","jobless","negative",6
"941","loud","negative",6
"942","loving","positive",6
"943","monster","negative",6
"944","motivated","positive",6
"945","optimal","positive",6
"946","orphan","negative",6
"947","overrun","negative",6
"948","perfectly","positive",6
"949","plot","negative",6
"950","poison","negative",6
"951","privileged","positive",6
"952","progressive","positive",6
"953","promises","positive",6
"954","prompt","positive",6
"955","pros","positive",6
"956","protesting","negative",6
"957","pure","positive",6
"958","rage","negative",6
"959","rail","negative",6
"960","reckless","negative",6
"961","regrets","negative",6
"962","restructuring","positive",6
"963","rightly","positive",6
"964","rival","negative",6
"965","sacrificed","negative",6
"966","satisfied","positive",6
"967","scarce","negative",6
"968","sickening","negative",6
"969","sobering","negative",6
"970","sophisticated","positive",6
"971","spoil","negative",6
"972","stealing","negative",6
"973","strained","negative",6
"974","strongest","positive",6
"975","surpass","positive",6
"976","undocumented","negative",6
"977","uneven","negative",6
"978","unexpected","negative",6
"979","vomiting","negative",6
"980","wane","negative",6
"981","abusive","negative",5
"982","adversity","negative",5
"983","appalling","negative",5
"984","assure","positive",5
"985","blatantly","negative",5
"986","bogus","negative",5
"987","bolster","positive",5
"988","capability","positive",5
"989","cheating","negative",5
"990","cleaner","positive",5
"991","commendable","positive",5
"992","compassionate","positive",5
"993","confrontation","negative",5
"994","crack","negative",5
"995","cracked","negative",5
"996","cringe","negative",5
"997","damages","negative",5
"998","damned","negative",5
"999","deception","negative",5
"1000","decisive","positive",5
"1001","deprived","negative",5
"1002","disappointment","negative",5
"1003","discriminate","negative",5
"1004","dispute","negative",5
"1005","disrespect","negative",5
"1006","dope","negative",5
"1007","doubts","negative",5
"1008","elevate","positive",5
"1009","enemies","negative",5
"1010","entertaining","positive",5
"1011","excellence","positive",5
"1012","expeditiously","positive",5
"1013","exploit","negative",5
"1014","farce","negative",5
"1015","feat","positive",5
"1016","frozen","negative",5
"1017","genius","positive",5
"1018","glory","positive",5
"1019","goodwill","positive",5
"1020","grapple","negative",5
"1021","guilty","negative",5
"1022","handy","positive",5
"1023","harassment","negative",5
"1024","headaches","negative",5
"1025","helplessness","negative",5
"1026","hype","negative",5
"1027","inaccurate","negative",5
"1028","inconsistent","negative",5
"1029","injustice","negative",5
"1030","inspirational","positive",5
"1031","insufficiency","negative",5
"1032","insurrection","negative",5
"1033","irreplaceable","positive",5
"1034","keen","positive",5
"1035","lacking","negative",5
"1036","lagging","negative",5
"1037","lazy","negative",5
"1038","leverage","positive",5
"1039","loot","negative",5
"1040","manageable","positive",5
"1041","mighty","positive",5
"1042","modest","positive",5
"1043","neglected","negative",5
"1044","negligent","negative",5
"1045","obese","negative",5
"1046","openly","positive",5
"1047","overdue","negative",5
"1048","overweight","negative",5
"1049","passionate","positive",5
"1050","personalized","positive",5
"1051","precisely","positive",5
"1052","pretend","negative",5
"1053","prick","negative",5
"1054","privilege","positive",5
"1055","productive","positive",5
"1056","radical","negative",5
"1057","rampant","negative",5
"1058","rant","negative",5
"1059","readily","positive",5
"1060","refreshing","positive",5
"1061","renewed","positive",5
"1062","renowned","positive",5
"1063","responsibly","positive",5
"1064","restored","positive",5
"1065","restrictive","negative",5
"1066","scramble","negative",5
"1067","scrambling","negative",5
"1068","shake","negative",5
"1069","slowest","negative",5
"1070","sorrow","negative",5
"1071","speedy","positive",5
"1072","stole","negative",5
"1073","stubborn","negative",5
"1074","succeeded","positive",5
"1075","sufferers","negative",5
"1076","superb","positive",5
"1077","suppress","negative",5
"1078","surreal","positive",5
"1079","thrilled","positive",5
"1080","trash","negative",5
"1081","troubles","negative",5
"1082","undermined","negative",5
"1083","uplifting","positive",5
"1084","upset","negative",5
"1085","wary","negative",5
"1086","winner","positive",5
"1087","wisely","positive",5
"1088","worsen","negative",5
"1089","abundance","positive",4
"1090","abysmal","negative",4
"1091","advantages","positive",4
"1092","agility","positive",4
"1093","alarmed","negative",4
"1094","allergic","negative",4
"1095","ambitious","positive",4
"1096","applaud","positive",4
"1097","assurance","positive",4
"1098","backbone","positive",4
"1099","bargain","positive",4
"1100","battered","negative",4
"1101","beg","negative",4
"1102","biased","negative",4
"1103","bloom","positive",4
"1104","bonuses","positive",4
"1105","brightest","positive",4
"1106","casualty","negative",4
"1107","chastisement","negative",4
"1108","checkered","negative",4
"1109","childish","negative",4
"1110","clueless","negative",4
"1111","complained","negative",4
"1112","complimentary","positive",4
"1113","cons","negative",4
"1114","contamination","negative",4
"1115","contempt","negative",4
"1116","continuity","positive",4
